num_interests,reach
1,6891.3999619901
2,6475.6199075261
3,10151.905283868
4,9365.1396943717
5,10684.354397073
6,9269.8943809298
7,9269.8943809298
8,5466.5704212968
9,4268.7749447575
10,3338.0833951171
11,1140.5779593541
12,179.96685033722
13,157.66193178534
14,140.46842878705
15,135.98271731727
16,142.53126552167
17,111.35255117724
18,142.53126544624
19,88.458107119178
20,85.298888842782
21,111.99133218656
22,85.952341021905
23,109.15790552063
24,83.575824119326
1,2897.0310467473
2,4098.0793689782
3,11667.836522868
4,11667.836522868
5,74.079117706502
6,69.610853447027
7,69.610853446564
8,232.31942433715
9,245.79178206312
10,16.544123641146
11,16.544123641146
12,16.985300271576
13,16.576015878458
14,10.373208498124
21,81.544801913867
22,81.544801913867
23,81.544801913867
24,81.544801913867
1,111.12074840233
2,3884.3813033714
3,2047.4346820898
4,502.50292066678
5,441.66318211274
6,518.2907846815
7,547.74077988629
8,547.74077988629
9,451.27985275067
10,37.346373954309
11,471.12954740622
12,325.08291975977
13,325.08291975977
14,325.08291975977
15,403.10282048466
16,156.8793372249
17,200.80555164787
1,14452.902281949
2,7834.2233466135
3,5581.7520359062
4,760.06580280187
5,317.99268627927
6,465.7094056865
7,280.61225233705
8,64.398905954661
9,64.398905954661
10,64.398905954661
11,64.398905954661
12,64.398905952347
13,42.66488340878
14,42.664883290002
15,76.791591767311
16,211.9280225886
17,227.94675662179
18,167.44449919962
19,167.44449919962
20,437.051310025
21,433.8823292953
22,645.90823830926
23,629.24451303988
24,534.09595777949
1,3053.1981234844
2,2372.868224545
3,7262.8006652409
4,16186.114087978
5,265.97316778823
6,351.49259629654
7,174.90186585567
8,377.69778887053
9,278.32053878759
10,326.75821432758
11,326.75821432758
12,326.75821432758
13,326.55954294789
14,326.55954294789
15,326.61661371666
16,239.28568544114
17,225.85363222136
18,225.98469672242
19,224.91622463328
20,105.99118569042
21,174.89783433737
22,174.89783433737
23,174.20380509799
24,174.31508911792
1,2534.6241065451
2,28646.566561512
3,36512.334657134
4,4089.6171615246
5,4089.6171615246
6,4089.6171615246
7,12169.282676797
8,191.71685169998
9,2.0566560675351
10,1.9558466783819
11,1.9558466783819
12,356.56174037866
13,15.492560241027
14,22.592541918314
1,3507.8083925853
2,5741.3548032978
3,6723.4312994944
4,5443.9134659024
5,5443.9134657742
6,4176.985376511
7,4163.4894624144
8,4509.4098280789
9,3695.7738526986
10,3695.7738526986
11,3481.9944986516
12,222.52104950005
13,420.03130431286
14,420.03130429724
15,420.03130429297
16,419.77598089091
17,135.26983903106
18,136.20921291328
19,103.99275506782
20,183.44209938534
21,239.42431455001
22,352.87391221685
23,452.53371116536
24,452.53371116536
1,3507.8083925853
2,15.033475682335
3,17.45095317904
4,18.433253828423
5,16.532481741506
6,16.532481741506
8,153.81991679879
9,221.88557220248
10,236.10190120669
11,242.20225790962
12,540.87627416796
13,399.61210617257
14,381.74659439914
15,386.89312683228
16,392.84734289308
17,216.84531211886
18,254.87562450179
19,249.22447560736
20,247.40728565463
21,247.30993142671
22,247.30993142671
23,247.30993142671
24,247.30993142671
1,3507.8083925853
2,2264.5206244448
3,1809.1803650749
4,858.53939977924
5,866.5277473069
6,328.03546786833
7,328.03546786833
8,129.05615877638
9,111.85118436145
10,143.88628840999
11,752.88124066353
12,1664.5461639808
14,0.24224280370699
15,396.16072201496
16,400.63255557856
17,210.88264746547
18,214.94795020691
19,422.24477851159
20,182.70574973059
21,259.67020035211
22,271.12169437777
23,216.35810265734
24,278.42313240958
1,1879.380795753
2,25589.186860143
3,25589.186860143
4,35711.021881712
6,11398.76871612
7,48.080947570636
8,50.067321393359
10,14.966978876501
11,9.7809025690552
12,297.06365943864
13,261.71484608599
14,265.69483350906
15,265.69483350906
16,278.44239953433
17,278.44239953433
18,278.44239953433
19,278.44239953433
20,278.44239950971
21,278.44239950971
22,278.44239950971
23,278.44239950971
24,20.214337510501
1,3012.4585040986
2,1609.6590277583
3,1102.8209244257
4,4411.89452097
5,210.66373265911
6,648.22044465298
7,819.04259352088
8,1734.58505446
9,1734.5850544599
10,2621.4981855795
11,1242.1637232563
12,995.7425797672
14,1376.0003345364
15,500.19523189151
16,469.41508992831
17,469.41508992831
18,469.41508986256
19,908.84916482237
20,675.39080551316
21,505.45056794016
22,378.83596540184
23,412.16058016645
24,382.62528661342
1,4724.6401198678
2,4647.180912359
3,123.36314545784
4,225.17580923849
5,836.32998713397
6,836.32998713397
7,360.99101548346
8,404.3348411304
9,452.66973632724
10,811.17498497
11,852.8726162841
12,852.8726162841
13,852.8726162841
14,996.36842001278
15,996.36842001278
16,129.81581953308
17,22.447933591409
18,19.014719503912
19,18.662595010114
20,18.66259500951
21,18.662594958383
22,18.662594958383
23,1916.4715702434
24,1612.9554199325
1,3179.1376763401
2,7664.9830443775
3,7009.1772767229
4,8521.8583087541
5,17061.927241409
6,17061.927241409
7,18129.600696509
8,1563.8160363851
9,1714.4408308992
10,2244.2585529485
11,2097.2634020827
12,229.69455355906
13,293.72384344718
14,344.94232077994
15,344.94232077994
16,344.94232077994
17,394.40093430575
18,18.733310818781
19,18.733310818781
20,37.466621637564
21,147.50777150683
22,10.094938976413
23,121.00273754014
24,328.82155489375
1,3179.1376763401
2,3493.7381981208
3,2955.7454122693
4,3642.0596353458
5,3642.0596353458
6,3573.7513336821
7,3473.6316933971
8,2655.6243843754
9,2347.1060924412
11,30.420052696672
12,472.08276048978
13,11.282798647611
14,9.9060285571419
15,9.9060285571419
16,11.173581531932
17,10.71865864652
18,10.71865864652
19,10.71865864652
20,10.718658646551
21,10.718658641745
22,8.8381918880889
23,8.8381918880889
24,8.8381918880889
1,3179.1376763401
2,2264.5206244448
3,2253.3690126678
4,1233.1479754483
5,872.02539128873
6,981.08768482009
7,887.48978710018
8,325.0220186461
9,325.0220186461
10,3377.2259067324
11,76.299937354742
12,1011.6456280674
13,86.841606043434
14,1496.0000992279
15,1772.3280981869
16,2634.6409836223
17,217.11825573385
18,286.12466506849
19,286.12466506849
20,264.16799296977
21,264.16799292342
22,731.29815509993
23,749.30537466926
24,749.30537363699
