num_interests,reach
1,110398831.38666
2,75537749.742544
3,71098644.396046
4,63121390.101152
5,37115475.007569
6,28792242.231333
7,26806045.305608
8,14212285.707849
9,12938285.172307
10,3533223.7040005
11,3411773.2095309
12,1136367.6323986
13,1151795.5339579
14,672719.08863189
15,639830.12179105
16,638887.4261867
17,152249.30550559
18,152263.18845561
19,67697.804355861
20,48880.527275617
21,33008.941456817
22,31458.35820451
23,30704.423520825
24,30630.862371997
1,97257624.986893
2,69373430.119524
3,46277296.785136
4,52548604.534724
5,51598119.380491
6,50980617.462122
7,48072077.723512
8,16962586.133942
9,16962586.133942
10,13586166.71832
11,8740654.391798
12,7106635.2019658
13,4586047.8937905
14,4482380.2203249
15,4483074.1643931
16,3343014.5885118
17,2366589.2180194
18,1656964.0333565
19,1658048.3942521
20,621406.19279259
21,603520.79555821
22,602562.94163013
23,594682.88411964
24,596336.96899939
1,97257624.986893
2,69373430.119524
3,68922150.00102
4,47105425.320319
5,8653802.5008439
6,8691161.9683346
7,8638514.151173
8,8452473.9343541
9,8452473.9343541
10,6068334.3944259
11,2432565.2628839
12,2444964.2241881
13,2485749.1019639
14,1853587.2690081
15,1760086.8272526
16,1099739.9827545
17,507527.92629978
18,486265.9078179
19,487526.58444773
20,461423.85891421
21,461670.8953331
22,461670.8953331
23,159924.01150097
24,158714.43241309
1,97257624.986893
2,76151304.204277
3,59524179.561274
4,55139158.689713
5,52209819.220301
6,51604795.538982
7,47143156.207415
8,16753327.481224
9,16753327.481224
10,13073615.702043
11,7827739.4703795
12,7625305.9097936
13,7149329.6155707
14,6571565.5467946
15,6550439.1258598
16,6368893.9233638
17,5038140.8000477
18,4798432.2357437
19,4765876.4620093
20,1154407.2523609
21,624195.01921313
22,616401.2009905
23,539611.0881277
24,464002.4145908
1,97699366.118729
2,93974853.669843
3,85917712.612019
4,11625789.600769
5,11330348.329573
6,7881871.6497402
7,7908451.8150892
8,3344872.6182533
9,2441449.2146819
10,2094527.950328
11,2025216.2895951
12,765731.78800894
13,765835.55152844
14,724076.97207023
15,132241.01603217
16,132241.01603217
17,132241.01603217
18,68336.478769909
19,55089.496494352
20,12412.68977363
21,12412.68977363
22,12412.68977363
23,12397.327533811
24,11502.448721607
1,72355213.179094
2,72175702.144313
3,51243697.611839
4,46799569.798541
5,46799569.798541
6,30325359.606005
7,23955909.782774
8,22976725.055536
9,6157049.6062423
10,5708618.6753927
11,5685278.5530759
12,5675153.1660101
13,4391620.3667166
14,4391620.3667166
15,2123629.8571727
16,1043786.1216105
17,850867.86478208
18,842036.27029551
19,842036.27029551
20,842036.27029551
21,842552.20489665
22,842552.20489665
23,842552.20489665
24,472887.41065563
1,100882056.23279
2,12167788.228941
3,11784341.497052
4,1962576.9904753
5,1962576.9904753
6,1697701.9662457
7,1697701.9662457
8,1711719.729671
9,1711719.729671
10,1712946.17835
11,1583807.5438946
12,1425060.7680205
13,1374157.3783768
14,1225392.5851132
15,1061869.2721242
16,992073.33232695
17,693104.42108607
18,381649.50195071
19,266448.10204975
20,266448.10204975
21,257924.04120504
22,259654.26336347
23,261943.74701448
24,248015.76003266
1,7293510.0652613
2,2632173.6874419
3,2551070.9117313
4,2190259.5266186
5,2123952.6082756
6,1865699.4486345
7,732816.38659746
8,710977.12256703
9,712742.86843107
10,710345.68965187
11,528359.50582873
12,470188.78469229
13,330691.34737936
14,313126.42464796
15,25100.459794147
16,24103.689723882
17,18476.191836582
18,18168.670523266
19,18348.242440331
20,18300.23623382
21,18293.268644819
22,18212.331508099
23,18289.904357093
24,18085.307607512
1,3286412.2170297
2,2430890.375107
3,1068700.3474428
4,1030107.9493685
5,736695.81008819
6,724965.67761048
7,585172.78872253
8,181583.17832197
9,181444.31753472
10,181123.13370729
11,178808.2380461
12,125224.89282046
13,125224.89282046
14,109617.30518861
15,97435.939062111
16,85996.191442174
17,68197.361853043
18,67742.112135584
19,67679.16261745
20,57414.789782367
21,57452.517707416
22,6286.3992542289
23,6051.3129517904
24,6030.4935028462
1,97257624.986893
2,69373430.119524
3,66462744.01026
4,40845321.355503
5,14399961.347129
6,7476517.8125985
